; ATT_LAY Data File............Version: BETA : 08-25-96


; Modified on November 24, 1998 
;
; WARNING DO NOT ALTER THIS FILE!
;
; Data file structure:
;   1-2   : Discipline & Drawing Type Code
;   4-14  : Base Layer Name
;   16-30 : NEWW Linetype  (also for "nil suffix")
;   32-34 : NEWW Color Num (also for "nil suffix")
;   36-50 : EXST Linetype
;   52-54 : EXST Color Num
;   56-70 : DEMO Linetype
;   72-74 : DEMO Color Num
;   76-90 : FUTR Linetype
;   92-94 : FUTR Color Num
;

;        1         2         3         4         5         6         7         8         9
;234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
;  |         = |             = | = |             = | = |             = | = |             = | =
AF A-DOOR      Continuous        3 Continuous        7 Continuous        2                    
AF A-DOOR-IDEN Continuous      255 Continuous        7 Continuous       40                    
AF A-DOOR-SWNG DashDot           3 DashDot           7 DashDot           2                    
AF A-EQPM      Continuous       10 Continuous        7 Continuous       40                    
AF A-FLOR      Continuous      255 Continuous        7 Continuous       40                    
AF A-FLOR-CASE Continuous      210 Continuous        7 Continuous       40                    
AF A-FLOR-IDEN Continuous      251 Continuous        7 Continuous        2                    
AF A-FLOR-PATT Continuous      255 Continuous        7 Continuous       40                    
AF A-FLOR-PDST Continuous      130 Continuous        7 Continuous       40                    
AF A-FLOR-RAIS Continuous      210 Continuous        7 Continuous       40                    
AF A-FLOR-TPTN Continuous       80 Continuous        7 Continuous       40                                        
AF A-FLOR-LEVL Continuous        4 Continuous        7 Continuous       40                    
AF A-FLOR-STRS Continuous      160 Continuous        7 Continuous       40                    
AF A-FLOR-EVTR Continuous       10 Continuous        7 Continuous       40                    
AF A-FPLN-DIMS Continuous      255 Continuous        7 Continuous       40                    
AF A-FPLN-NOTE Continuous        6 Continuous        7 Continuous        2                    
AF A-FPLN-DIMS Continuous      252 Continuous        7 Continuous       40                    
AF A-FPLN-NOTE Continuous        6 Continuous        7 Continuous       40                    
AF A-FURN-FREE Continuous       10 Continuous        7 Continuous       40                    
AF A-FURN-FREE Continuous       10 Continuous        7 Continuous       40                    
AF A-GLAZ      Continuous       70 Continuous        7 Continuous       40                    
AF A-WALL      Continuous       80 Continuous        7 Continuous       50                    
AF A-WALL-FULL Continuous       80 Continuous        7 Continuous       40                    
AF A-WALL-MOVE Continuous       80 Continuous        7 Continuous       40                    
